"BOM number","BOM name","Product number","Product name","Group number","Group name","Part No.","Part description","Parameters","Relation number","Relation","Unit of measurement","Quantity","Approximate cost","Fixed quantity","Notes","BOM Type"
"BO00295","A00534 TEST ALEPPO FAVA 1 BOM","A00534-del1772215047","TEST ALEPPO FAVA 1","AG1011","Spices","A1582","Aleppo Pepper - Hot",,,,"kg",5.0000000000,0.05,0,,"BOM"
"BO00296","A00535 TEST ALEPPO FAVA 2 BOM","A00535-del1772197381","TEST ALEPPO FAVA 2","AG1011","Spices","A1582","Aleppo Pepper - Hot",,,,"kg",10.0000000000,0.1,0,,"BOM"
"BO00302","A00551 Lactantia Clarified Butter BOM","A00551","Lactantia Clarified Butter","AG1015","Dairy","A1401","Butter - Unsalted",,,,"kg",1.3000000000,18.85,0,,"BOM"
"BO00303","Cookie - Strawberry Almond  - Frozen - bag BOM","A00558","Cookie - Strawberry Almond  - Frozen - bag","AG1003","Desserts","A1924","Base Cookie Dough",,,,"tray (10 kg)",0.3000000000,39.08081800431,0,,"BOM"
"BO00303","Cookie - Strawberry Almond  - Frozen - bag BOM","A00558","Cookie - Strawberry Almond  - Frozen - bag","AG1014","Pantry","A00557","Ann Clark Super Red Food Coloring Gel",,,,"gr",2.2000000000,0.343578125,0,,"BOM"
"BO00303","Cookie - Strawberry Almond  - Frozen - bag BOM","A00558","Cookie - Strawberry Almond  - Frozen - bag","AG1014","Pantry","A00556","LorAnn Strawberry Bakery Emulsion",,,,"gr",7.2000000000,0.85301694936,0,,"BOM"
"BO00303","Cookie - Strawberry Almond  - Frozen - bag BOM","A00558","Cookie - Strawberry Almond  - Frozen - bag","AG1014","Pantry","A00555","Dried Strawberry",,,,"gr",450,7.8273,0,,"BOM"
"BO00303","Cookie - Strawberry Almond  - Frozen - bag BOM","A00558","Cookie - Strawberry Almond  - Frozen - bag","AG1017","Nuts","A1488","Almond - Slivered",,,,"gr",360,0.0036,0,,"BOM"
"BO00303","Cookie - Strawberry Almond  - Frozen - bag BOM","A00558","Cookie - Strawberry Almond  - Frozen - bag","AG1014","Pantry","A1997","White Chocolate",,,,"gr",450,10.35,0,,"BOM"
"BO00304","A00570 Beet  - Yellow - Peeled - Steamed - Bag BOM","A00570","Beet  - Yellow - Peeled - Steamed - Bag","AG1010","Veges","A00567","Beet  - Yellow - Peeled",,,,"kg",5.0000000000,24.711111111,0,,"BOM"
"BO00304","A00570 Beet  - Yellow - Peeled - Steamed - Bag BOM","A00570","Beet  - Yellow - Peeled - Steamed - Bag","AG1014","Pantry","A1150","Tap Water",,,,"L",1.0000000000,0,0,,"BOM"
"BO00305","A00571 Fattouch dressing BOM","A00571","Fattouch dressing - Bag","AG1010","Veges","A1241","Lemon Juice",,,,"kg",2.5000000000,36.54166666675,0,,"BOM"
"BO00305","A00571 Fattouch dressing BOM","A00571","Fattouch dressing - Bag","AG1014","Pantry","A1147","Vinegar - Apple",,,,"gr",835,5.56666666669,0,,"BOM"
"BO00305","A00571 Fattouch dressing BOM","A00571","Fattouch dressing - Bag","AG1011","Spices","A1211","Salt - Fine",,,,"gr",445.0000000000,4.45,0,,"BOM"
"BO00305","A00571 Fattouch dressing BOM","A00571","Fattouch dressing - Bag","AG1014","Pantry","A1141","Sugar - White - Granulated",,,,"gr",225.0000000000,2.25,0,,"BOM"
"BO00305","A00571 Fattouch dressing BOM","A00571","Fattouch dressing - Bag","AG1014","Pantry","A1136","Pomegranate Molasses",,,,"gr",445.0000000000,6.23,0,,"BOM"
"BO00305","A00571 Fattouch dressing BOM","A00571","Fattouch dressing - Bag","AG1010","Veges","A1920","Frozen Lemon Zest",,,,"gr",100,0.21916666667,0,,"BOM"
"BO00306","A00577 Potatoes - Russet - Cooked - Frozen - Bag BOM","A00577","Potatoes - Russet - Cooked - Frozen - Bag","AG1011","Spices","A1211","Salt - Fine",,,,"gr",4.4000000000,0.044,0,,"BOM"
"BO00306","A00577 Potatoes - Russet - Cooked - Frozen - Bag BOM","A00577","Potatoes - Russet - Cooked - Frozen - Bag","AG1010","Veges","A00579","Dolbec - Russet - Potato",,,,"kg",4.5000000000,3.1726190475,0,,"BOM"
"BO00307","A00585 Coleslaw mayo dressing - Bag BOM","A00585","Coleslaw mayo dressing - Bag","AG1011","Spices","A1211","Salt - Fine",,,,"gr",108.0000000000,1.08,0,,"BOM"
"BO00307","A00585 Coleslaw mayo dressing - Bag BOM","A00585","Coleslaw mayo dressing - Bag","AG1014","Pantry","A1141","Sugar - White - Granulated",,,,"gr",210.0000000000,2.1,0,,"BOM"
"BO00307","A00585 Coleslaw mayo dressing - Bag BOM","A00585","Coleslaw mayo dressing - Bag","AG1007","Sauces","A1550","Garlic Mayo - Bag - Bulk",,,,"kg",1.5,12.02269810995,0,,"BOM"
